TABLE_NAME,TABLE_COMMENT,TABLE_SCHEMA
sys_role,平台角色表,manufacturer_pro
order_goods,厂家经纪人药品销售明细表,manufacturer_pro
sys_user,销售厂家平台、厂家经济人平台  用户表,manufacturer_pro
order_goods_return,厂家经纪人药品售后明细表,manufacturer_pro
sys_user_role_rf,平台用户角色关联表,manufacturer_pro
agent_goods_rf,药品-经纪人关系表,manufacturer_pro
agent_goods_doctor_rf,医生-药品-经纪人关联表,manufacturer_pro
account_certificate_type,,hospitalplus_pro
customer_service_order,客服订单表,hospitalplus_pro
hospitalplus_audit_doctor,v2.0 - 审核药师表,hospitalplus_pro
customer_service_order_followup,,hospitalplus_pro
hospitalplus_audit_pharmacist,药店端 - 审方药师表(废弃),hospitalplus_pro
hospitalplus_audit_pharmacist_store,药店端 - 审方药师关联门店表(废弃),hospitalplus_pro
hospitalplus_audit_doctor_certificate,v2.0 - 审核药师认证表,hospitalplus_pro
hospitalplus_all_department,省监管 - 标准科室列表,hospitalplus_pro
account_entry_certificate,后台账号与医生账号,hospitalplus_pro
hospitalplus_appointment_stock,医生预约库存,hospitalplus_pro
customer_service_user,客服系统用户表,hospitalplus_pro
hospitalcenter_hospital_item_control,,hospitalplus_pro
hospitalcenter_hospital_order,互联网医院处方订单,hospitalplus_pro
hospitalplus_app_resource,APP首页模块,hospitalplus_pro
hospitalplus_app_version_manage,APP版本管理,hospitalplus_pro
hospitalplus_ask_article_question_answer,新生活动文章问题答案表,hospitalplus_pro
hospitalplus_ask_article,医师新手活动:问答文章表,hospitalplus_pro
hospitalcenter_hospital_order_item,,hospitalplus_pro
hospitalplus_ask_answer_log,新手活动问答答题记录表,hospitalplus_pro
hospitalplus_ask_article_question,医师新手活动:问答文章问题表,hospitalplus_pro
hospitalplus_auto_store,无人机门店列表,hospitalplus_pro
hospitalplus_basic_info,互联网医疗机构信息,hospitalplus_pro
hospitalplus_auto_dialogue,自动问诊的问题和回复配置表,hospitalplus_pro
hospitalplus_chronic_article_type,v2.0 - 慢病医典类型,hospitalplus_pro
hospitalplus_chronic_article,慢病医典编号,hospitalplus_pro
hospitalplus_clean_redisdata_log,清除redis队列脏数据日志记录,hospitalplus_pro
hospitalplus_comment,v2.0 - 问诊评价表,hospitalplus_pro
hospitalplus_common_draft,常用药品库,hospitalplus_pro
hospitalplus_comment_label,v2.0 - 评价标签表,hospitalplus_pro
hospitalplus_consultation_phone,电话问诊通话记录表,hospitalplus_pro
hospitalplus_consultation_count,问诊数据统计记录,hospitalplus_pro
hospitalplus_consultation_order_dialogue,问诊订单问答表,hospitalplus_pro
hospitalplus_consultation_transfer,问诊转诊记录表,hospitalplus_pro
hospitalplus_cooperate_doctor,合作医生,hospitalplus_pro
hospitalplus_consultation_phone_renew,电话问诊续费表,hospitalplus_pro
hospitalplus_default_specification,常用药品默认规格,hospitalplus_pro
hospitalplus_doctor_agent,医师经纪人,hospitalplus_pro
hospitalplus_doctor_advice,中药医嘱,hospitalplus_pro
hospitalplus_doctor_article,医生文章数据,hospitalplus_pro
hospitalplus_doctor_attention,小程序关注医生关系,hospitalplus_pro
hospitalplus_doctor_default_store,医生默认门店设置(处方共享),hospitalplus_pro
hospitalplus_doctor_phone_price,医生电话问诊价格配置表,hospitalplus_pro
hospitalplus_doctor_price,医师诊疗活动价格表,hospitalplus_pro
hospitalplus_doctor_phrase_item,医生常用语的预设选项,hospitalplus_pro
hospitalplus_doctor_phrase,医生常用语,hospitalplus_pro
hospitalplus_doctor_recommend,推荐医生数据,hospitalplus_pro
hospitalplus_doctor_zyremark,医生中药医嘱,hospitalplus_pro
hospitalplus_doctor_sort,医生排序标记,hospitalplus_pro
hospitalplus_doctor_service_config,医生服务配置表,hospitalplus_pro
hospitalplus_doctor_title,v2.0 - 医师标签,hospitalplus_pro
hospitalplus_drug_dosage,监管平台剂型与dsl剂型关系对照表,hospitalplus_pro
hospitalplus_eqp_info,互联网医院设备信息,hospitalplus_pro
hospitalplus_good_template,医生常用药物,hospitalplus_pro
hospitalplus_index_banner,首页轮播图,hospitalplus_pro
hospitalplus_live_count,统计活跃用户,hospitalplus_pro
hospitalplus_headlines,头条文章,hospitalplus_pro
hospitalplus_invite_count,邀请统计表,hospitalplus_pro
hospitalplus_group,医生患者分组,hospitalplus_pro
hospitalplus_normal_schedule,医生 - 固定排班表,hospitalplus_pro
hospitalplus_novice_behavior_log,医师新手活动: 登录弹框记录表,hospitalplus_pro
hospitalplus_novice_reward,新手活动表,hospitalplus_pro
hospitalplus_novice_reward_log,医师新手活动: 领取奖励记录表,hospitalplus_pro
hospitalplus_optional_idcard_store,身份证选填门店表,hospitalplus_pro
hospitalplus_patient_group,患者分组关系表,hospitalplus_pro
hospitalplus_prescription_log,推送处方中台失败日志记录表,hospitalplus_pro
hospitalplus_prescription_pay_order,百科西药支付订单,hospitalplus_pro
hospitalplus_region_code,行政区,hospitalplus_pro
hospitalplus_refund,退款申请,hospitalplus_pro
hospitalplus_rx_diagnose,共享处方_诊断信息,hospitalplus_pro
hospitalplus_prescription_pay_order_goods,处方药品信息,hospitalplus_pro
hospitalplus_register_user,统计每日注册用户,hospitalplus_pro
hospitalplus_register_user_detail,小程序注册用户,hospitalplus_pro
hospitalplus_rx_template,常用处方,hospitalplus_pro
hospitalplus_rx_count,每日统计处方数据,hospitalplus_pro
hospitalplus_rx_template_good,常用处方药品信息,hospitalplus_pro
hospitalplus_sale_path,推广外链列表,hospitalplus_pro
hospitalplus_schedule_type,预约时间分段设置,hospitalplus_pro
